BRAND,MODEL,VARIANT,MANUFACTURING YEAR,FUEL_TYPE_CLEAN,TRANSMISSION_TYPE,VEHICLE_CATEGORY,PRICE(INR),PRICE_SEGMENT,SEATING CAPACITY,DISPLACEMENT,HORSEPOWER,TORQUE(LB.FT),MILEAGE(km/L),MAX DISTANCE(FULL TANK),LENGTH_MM,WIDTH_MM,HEIGHT_MM,AIRBAGS,CHILD_LOCK,SERVICE_COST_NUM,SAFETY_SCORE,COMFORT_SCORE,TECH_SCORE,PERFORMANCE_SCORE,NUMBER OF CYLINDERS,DRIVETRAIN,TARGET
MG,Hector,Style,2023,Petrol,Manual/Auto,SUV,1595000,Mid-Range,5,1451,143,250,14.16,567.0,4655.0,1835.0,1760.0,2,1,11500,3,3,4,3,4,FWD,MG Hector
MG,Hector,Super,2023,Petrol,Manual/Auto,SUV,1800000,Mid-Range,5,1451,143,250,14.16,567.0,4655.0,1835.0,1760.0,4,1,11500,3,4,4,3,4,FWD,MG Hector
MG,Hector,Super Diesel,2023,Diesel,Manual,SUV,1930000,Mid-Range,5,1999,170,350,17.41,870.0,4655.0,1835.0,1760.0,4,1,12500,3,4,4,3,4,FWD,MG Hector
MG,Hector,Sharp,2023,Petrol,Manual/Auto,SUV,2005000,Mid-Range,5,1451,143,250,14.16,567.0,4655.0,1835.0,1760.0,4,1,11500,4,4,5,3,4,FWD,MG Hector
MG,Hector,Sharp Diesel,2023,Diesel,Manual,SUV,2135000,Mid-Range,5,1999,170,350,17.41,870.0,4655.0,1835.0,1760.0,4,1,12500,4,4,5,3,4,FWD,MG Hector
MG,Hector,Savvy,2023,Petrol,Manual/Auto,SUV,2335000,Mid-Range,5,1451,143,250,14.16,567.0,4655.0,1835.0,1760.0,6,1,11500,4,5,5,3,4,FWD,MG Hector
MG,Hector,Savvy Diesel,2023,Diesel,Manual,SUV,2465000,Mid-Range,5,1999,170,350,17.41,870.0,4655.0,1835.0,1760.0,6,1,12500,4,5,5,3,4,FWD,MG Hector
MG,Hector,Style,2024,Petrol,Manual/Auto,SUV,1710000,Mid-Range,5,1451,143,250,14.16,567.0,4655.0,1835.0,1760.0,2,1,11500,3,3,4,3,4,FWD,MG Hector
MG,Hector,Super,2024,Petrol,Manual/Auto,SUV,1935000,Mid-Range,5,1451,143,250,14.16,567.0,4655.0,1835.0,1760.0,4,1,11500,3,4,4,3,4,FWD,MG Hector
MG,Hector,Super Diesel,2024,Diesel,Manual,SUV,2065000,Mid-Range,5,1999,170,350,17.41,870.0,4655.0,1835.0,1760.0,4,1,12500,3,4,4,3,4,FWD,MG Hector
MG,Hector,Sharp,2024,Petrol,Manual/Auto,SUV,2155000,Mid-Range,5,1451,143,250,14.16,567.0,4655.0,1835.0,1760.0,4,1,11500,4,4,5,3,4,FWD,MG Hector
MG,Hector,Sharp Diesel,2024,Diesel,Manual,SUV,2285000,Mid-Range,5,1999,170,350,17.41,870.0,4655.0,1835.0,1760.0,4,1,12500,4,4,5,3,4,FWD,MG Hector
MG,Hector,Savvy,2024,Petrol,Manual/Auto,SUV,2515000,Mid-Range,5,1451,143,250,14.16,567.0,4655.0,1835.0,1760.0,6,1,11500,4,5,5,3,4,FWD,MG Hector
MG,Hector,Savvy Diesel,2024,Diesel,Manual,SUV,2645000,Mid-Range,5,1999,170,350,17.41,870.0,4655.0,1835.0,1760.0,6,1,12500,4,5,5,3,4,FWD,MG Hector
MG,Hector,Style,2025,Petrol,Manual/Auto,SUV,1840000,Mid-Range,5,1451,143,250,14.16,567.0,4655.0,1835.0,1760.0,2,1,11500,3,3,4,3,4,FWD,MG Hector
MG,Hector,Super,2025,Petrol,Manual/Auto,SUV,2090000,Mid-Range,5,1451,143,250,14.16,567.0,4655.0,1835.0,1760.0,4,1,11500,3,4,4,3,4,FWD,MG Hector
MG,Hector,Super Diesel,2025,Diesel,Manual,SUV,2220000,Mid-Range,5,1999,170,350,17.41,870.0,4655.0,1835.0,1760.0,4,1,12500,3,4,4,3,4,FWD,MG Hector
MG,Hector,Sharp,2025,Petrol,Manual/Auto,SUV,2330000,Mid-Range,5,1451,143,250,14.16,567.0,4655.0,1835.0,1760.0,4,1,11500,4,4,5,3,4,FWD,MG Hector
MG,Hector,Sharp Diesel,2025,Diesel,Manual,SUV,2460000,Mid-Range,5,1999,170,350,17.41,870.0,4655.0,1835.0,1760.0,4,1,12500,4,4,5,3,4,FWD,MG Hector
MG,Hector,Savvy,2025,Petrol,Manual/Auto,SUV,2730000,Mid-Range,5,1451,143,250,14.16,567.0,4655.0,1835.0,1760.0,6,1,11500,4,5,5,3,4,FWD,MG Hector
MG,Hector,Savvy Diesel,2025,Diesel,Manual,SUV,2860000,Mid-Range,5,1999,170,350,17.41,870.0,4655.0,1835.0,1760.0,6,1,12500,4,5,5,3,4,FWD,MG Hector
MG,Hector Plus,Super,2020,Petrol,Manual/Auto,SUV,1387000,Value,6,1451,143,250,13.96,558.0,4720.0,1835.0,1760.0,4,1,12000,3,3,4,3,4,FWD,MG Hector Plus
MG,Hector Plus,Sharp,2020,Petrol,Manual/Auto,SUV,1555000,Mid-Range,6,1451,143,250,13.96,558.0,4720.0,1835.0,1760.0,4,1,12000,3,4,5,3,4,FWD,MG Hector Plus
MG,Hector Plus,Savvy,2020,Petrol,Manual/Auto,SUV,1735000,Mid-Range,6,1451,143,250,13.96,558.0,4720.0,1835.0,1760.0,6,1,12000,4,4,5,3,4,FWD,MG Hector Plus
MG,Hector Plus,Gloster-style,2020,Petrol,Manual/Auto,SUV,2020000,Mid-Range,6,1451,143,250,13.96,558.0,4720.0,1835.0,1760.0,6,1,12000,4,5,5,3,4,FWD,MG Hector Plus
MG,Hector Plus,Super,2021,Petrol,Manual/Auto,SUV,1455000,Value,6,1451,143,250,13.96,558.0,4720.0,1835.0,1760.0,4,1,12000,3,3,4,3,4,FWD,MG Hector Plus
MG,Hector Plus,Sharp,2021,Petrol,Manual/Auto,SUV,1630000,Mid-Range,6,1451,143,250,13.96,558.0,4720.0,1835.0,1760.0,4,1,12000,3,4,5,3,4,FWD,MG Hector Plus
MG,Hector Plus,Savvy,2021,Petrol,Manual/Auto,SUV,1820000,Mid-Range,6,1451,143,250,13.96,558.0,4720.0,1835.0,1760.0,6,1,12000,4,4,5,3,4,FWD,MG Hector Plus
MG,Hector Plus,Gloster-style,2021,Petrol,Manual/Auto,SUV,2125000,Mid-Range,6,1451,143,250,13.96,558.0,4720.0,1835.0,1760.0,6,1,12000,4,5,5,3,4,FWD,MG Hector Plus
MG,Hector Plus,Super,2022,Petrol,Manual/Auto,SUV,1535000,Mid-Range,6,1451,143,250,13.96,558.0,4720.0,1835.0,1760.0,4,1,12000,3,3,4,3,4,FWD,MG Hector Plus
MG,Hector Plus,Sharp,2022,Petrol,Manual/Auto,SUV,1720000,Mid-Range,6,1451,143,250,13.96,558.0,4720.0,1835.0,1760.0,4,1,12000,3,4,5,3,4,FWD,MG Hector Plus
MG,Hector Plus,Savvy,2022,Petrol,Manual/Auto,SUV,1920000,Mid-Range,6,1451,143,250,13.96,558.0,4720.0,1835.0,1760.0,6,1,12000,4,4,5,3,4,FWD,MG Hector Plus
MG,Hector Plus,Gloster-style,2022,Petrol,Manual/Auto,SUV,2245000,Mid-Range,6,1451,143,250,13.96,558.0,4720.0,1835.0,1760.0,6,1,12000,4,5,5,3,4,FWD,MG Hector Plus
MG,Hector Plus,Super,2023,Petrol,Manual/Auto,SUV,1630000,Mid-Range,6,1451,143,250,13.96,558.0,4720.0,1835.0,1760.0,4,1,12000,3,3,4,3,4,FWD,MG Hector Plus
MG,Hector Plus,Sharp,2023,Petrol,Manual/Auto,SUV,1830000,Mid-Range,6,1451,143,250,13.96,558.0,4720.0,1835.0,1760.0,4,1,12000,3,4,5,3,4,FWD,MG Hector Plus
MG,Hector Plus,Savvy,2023,Petrol,Manual/Auto,SUV,2045000,Mid-Range,6,1451,143,250,13.96,558.0,4720.0,1835.0,1760.0,6,1,12000,4,4,5,3,4,FWD,MG Hector Plus
MG,Hector Plus,Gloster-style,2023,Petrol,Manual/Auto,SUV,2395000,Mid-Range,6,1451,143,250,13.96,558.0,4720.0,1835.0,1760.0,6,1,12000,4,5,5,3,4,FWD,MG Hector Plus
MG,Hector Plus,Super,2024,Petrol,Manual/Auto,SUV,1750000,Mid-Range,6,1451,143,250,13.96,558.0,4720.0,1835.0,1760.0,4,1,12000,3,3,4,3,4,FWD,MG Hector Plus
MG,Hector Plus,Sharp,2024,Petrol,Manual/Auto,SUV,1970000,Mid-Range,6,1451,143,250,13.96,558.0,4720.0,1835.0,1760.0,4,1,12000,3,4,5,3,4,FWD,MG Hector Plus
MG,Hector Plus,Savvy,2024,Petrol,Manual/Auto,SUV,2205000,Mid-Range,6,1451,143,250,13.96,558.0,4720.0,1835.0,1760.0,6,1,12000,4,4,5,3,4,FWD,MG Hector Plus
MG,Hector Plus,Gloster-style,2024,Petrol,Manual/Auto,SUV,2590000,Mid-Range,6,1451,143,250,13.96,558.0,4720.0,1835.0,1760.0,6,1,12000,4,5,5,3,4,FWD,MG Hector Plus
MG,Hector Plus,Super,2025,Petrol,Manual/Auto,SUV,1890000,Mid-Range,6,1451,143,250,13.96,558.0,4720.0,1835.0,1760.0,4,1,12000,3,3,4,3,4,FWD,MG Hector Plus
MG,Hector Plus,Sharp,2025,Petrol,Manual/Auto,SUV,2135000,Mid-Range,6,1451,143,250,13.96,558.0,4720.0,1835.0,1760.0,4,1,12000,3,4,5,3,4,FWD,MG Hector Plus
MG,Hector Plus,Savvy,2025,Petrol,Manual/Auto,SUV,2395000,Mid-Range,6,1451,143,250,13.96,558.0,4720.0,1835.0,1760.0,6,1,12000,4,4,5,3,4,FWD,MG Hector Plus
MG,Hector Plus,Gloster-style,2025,Petrol,Manual/Auto,SUV,2815000,Mid-Range,6,1451,143,250,13.96,558.0,4720.0,1835.0,1760.0,6,1,12000,4,5,5,3,4,FWD,MG Hector Plus
MG,ZS EV,Excite,2020,Electric,Automatic,SUV,2099000,Mid-Range,5,0,143,353,2049000.0,340.0,4314.0,1809.0,1649.0,4,1,10000,3,3,4,3,0,FWD,MG ZS EV
MG,ZS EV,Exclusive,2020,Electric,Automatic,SUV,2349000,Mid-Range,5,0,143,353,2049000.0,340.0,4314.0,1809.0,1649.0,6,1,10000,4,4,5,3,0,FWD,MG ZS EV
MG,ZS EV,Excite,2021,Electric,Automatic,SUV,2199000,Mid-Range,5,0,143,353,2049000.0,340.0,4314.0,1809.0,1649.0,4,1,10000,3,3,4,3,0,FWD,MG ZS EV
MG,ZS EV,Exclusive,2021,Electric,Automatic,SUV,2449000,Mid-Range,5,0,143,353,2049000.0,340.0,4314.0,1809.0,1649.0,6,1,10000,4,4,5,3,0,FWD,MG ZS EV
MG,ZS EV,Excite,2022,Electric,Automatic,SUV,2299000,Mid-Range,5,0,143,353,2049000.0,461.0,4314.0,1809.0,1649.0,4,1,10000,3,3,4,3,0,FWD,MG ZS EV
MG,ZS EV,Exclusive,2022,Electric,Automatic,SUV,2549000,Mid-Range,5,0,143,353,2049000.0,461.0,4314.0,1809.0,1649.0,6,1,10000,4,4,5,3,0,FWD,MG ZS EV
MG,ZS EV,Excite,2023,Electric,Automatic,SUV,2399000,Mid-Range,5,0,143,353,2049000.0,461.0,4314.0,1809.0,1649.0,4,1,10000,3,3,4,3,0,FWD,MG ZS EV
MG,ZS EV,Exclusive,2023,Electric,Automatic,SUV,2649000,Mid-Range,5,0,143,353,2049000.0,461.0,4314.0,1809.0,1649.0,6,1,10000,4,4,5,3,0,FWD,MG ZS EV
MG,ZS EV,Excite,2024,Electric,Automatic,SUV,2499000,Mid-Range,5,0,143,353,2049000.0,461.0,4314.0,1809.0,1649.0,4,1,10000,3,3,4,3,0,FWD,MG ZS EV
MG,ZS EV,Exclusive,2024,Electric,Automatic,SUV,2749000,Mid-Range,5,0,143,353,2049000.0,461.0,4314.0,1809.0,1649.0,6,1,10000,4,4,5,3,0,FWD,MG ZS EV
MG,ZS EV,Excite,2025,Electric,Automatic,SUV,2599000,Mid-Range,5,0,143,353,2049000.0,461.0,4314.0,1809.0,1649.0,4,1,10000,3,3,4,3,0,FWD,MG ZS EV
MG,ZS EV,Exclusive,2025,Electric,Automatic,SUV,2849000,Mid-Range,5,0,143,353,2049000.0,461.0,4314.0,1809.0,1649.0,6,1,10000,4,4,5,3,0,FWD,MG ZS EV
MG,Gloster,Super,2020,Diesel,Automatic,SUV,2899000,Mid-Range,7,1999,218,480,13.5,675.0,4985.0,1926.0,1867.0,4,1,17000,3,4,4,3,4,4WD,MG Gloster
MG,Gloster,Sharp,2020,Diesel,Automatic,SUV,3199000,Premium,7,1999,218,480,13.5,675.0,4985.0,1926.0,1867.0,6,1,17000,4,4,5,4,4,4WD,MG Gloster
MG,Gloster,Savvy,2020,Diesel,Automatic,SUV,3499000,Premium,7,1999,218,480,13.5,675.0,4985.0,1926.0,1867.0,8,1,17000,4,5,5,4,4,4WD,MG Gloster
MG,Gloster,Super,2021,Diesel,Automatic,SUV,3059000,Premium,7,1999,218,480,13.5,675.0,4985.0,1926.0,1867.0,4,1,17000,3,4,4,3,4,4WD,MG Gloster
MG,Gloster,Sharp,2021,Diesel,Automatic,SUV,3379000,Premium,7,1999,218,480,13.5,675.0,4985.0,1926.0,1867.0,6,1,17000,4,4,5,4,4,4WD,MG Gloster
MG,Gloster,Savvy,2021,Diesel,Automatic,SUV,3699000,Premium,7,1999,218,480,13.5,675.0,4985.0,1926.0,1867.0,8,1,17000,4,5,5,4,4,4WD,MG Gloster
MG,Gloster,Super,2022,Diesel,Automatic,SUV,3245000,Premium,7,1999,218,480,13.5,675.0,4985.0,1926.0,1867.0,4,1,17000,3,4,4,3,4,4WD,MG Gloster
MG,Gloster,Sharp,2022,Diesel,Automatic,SUV,3590000,Premium,7,1999,218,480,13.5,675.0,4985.0,1926.0,1867.0,6,1,17000,4,4,5,4,4,4WD,MG Gloster
MG,Gloster,Savvy,2022,Diesel,Automatic,SUV,3935000,Premium,7,1999,218,480,13.5,675.0,4985.0,1926.0,1867.0,8,1,17000,4,5,5,4,4,4WD,MG Gloster
MG,Gloster,Super,2023,Diesel,Automatic,SUV,3480000,Premium,7,1999,218,480,13.5,675.0,4985.0,1926.0,1867.0,4,1,17000,3,4,4,3,4,4WD,MG Gloster
MG,Gloster,Sharp,2023,Diesel,Automatic,SUV,3860000,Premium,7,1999,218,480,13.5,675.0,4985.0,1926.0,1867.0,6,1,17000,4,4,5,4,4,4WD,MG Gloster
MG,Gloster,Savvy,2023,Diesel,Automatic,SUV,4235000,Premium,7,1999,218,480,13.5,675.0,4985.0,1926.0,1867.0,8,1,17000,4,5,5,4,4,4WD,MG Gloster
MG,Gloster,Super,2024,Diesel,Automatic,SUV,3760000,Premium,7,1999,218,480,13.5,675.0,4985.0,1926.0,1867.0,4,1,17000,3,4,4,3,4,4WD,MG Gloster
MG,Gloster,Sharp,2024,Diesel,Automatic,SUV,4180000,Premium,7,1999,218,480,13.5,675.0,4985.0,1926.0,1867.0,6,1,17000,4,4,5,4,4,4WD,MG Gloster
MG,Gloster,Savvy,2024,Diesel,Automatic,SUV,4590000,Premium,7,1999,218,480,13.5,675.0,4985.0,1926.0,1867.0,8,1,17000,4,5,5,4,4,4WD,MG Gloster
MG,Gloster,Super,2025,Diesel,Automatic,SUV,4090000,Premium,7,1999,218,480,13.5,675.0,4985.0,1926.0,1867.0,4,1,17000,3,4,4,3,4,4WD,MG Gloster
MG,Gloster,Sharp,2025,Diesel,Automatic,SUV,4560000,Premium,7,1999,218,480,13.5,675.0,4985.0,1926.0,1867.0,6,1,17000,4,4,5,4,4,4WD,MG Gloster
MG,Gloster,Savvy,2025,Diesel,Automatic,SUV,5015000,Premium,7,1999,218,480,13.5,675.0,4985.0,1926.0,1867.0,8,1,17000,4,5,5,4,4,4WD,MG Gloster
MG,Astor,Style,2021,Petrol,Manual/Auto,SUV,999000,Value,5,1490,110,144,17.56,633.0,4323.0,1809.0,1650.0,2,1,10000,3,3,4,3,4,FWD,MG Astor
MG,Astor,Super,2021,Petrol,Manual/Auto,SUV,1149000,Value,5,1490,110,144,17.56,633.0,4323.0,1809.0,1650.0,4,1,10000,3,4,4,3,4,FWD,MG Astor
MG,Astor,Super Turbo,2021,Petrol,Manual/Auto,SUV,1229000,Value,5,1349,140,220,16.2,583.0,4323.0,1809.0,1650.0,4,1,11000,3,4,4,3,3,FWD,MG Astor
MG,Astor,Sharp,2021,Petrol,Manual/Auto,SUV,1299000,Value,5,1490,110,144,17.56,633.0,4323.0,1809.0,1650.0,4,1,10000,4,4,5,3,4,FWD,MG Astor
MG,Astor,Sharp Turbo,2021,Petrol,Manual/Auto,SUV,1379000,Value,5,1349,140,220,16.2,583.0,4323.0,1809.0,1650.0,4,1,11000,4,4,5,4,3,FWD,MG Astor
MG,Astor,Savvy,2021,Petrol,Manual/Auto,SUV,1449000,Value,5,1490,110,144,17.56,633.0,4323.0,1809.0,1650.0,6,1,10000,4,5,5,3,4,FWD,MG Astor
MG,Astor,Savvy Turbo,2021,Petrol,Manual/Auto,SUV,1529000,Mid-Range,5,1349,140,220,16.2,583.0,4323.0,1809.0,1650.0,6,1,11000,4,5,5,4,3,FWD,MG Astor
MG,Astor,Style,2022,Petrol,Manual/Auto,SUV,1059000,Value,5,1490,110,144,17.56,633.0,4323.0,1809.0,1650.0,2,1,10000,3,3,4,3,4,FWD,MG Astor
MG,Astor,Super,2022,Petrol,Manual/Auto,SUV,1219000,Value,5,1490,110,144,17.56,633.0,4323.0,1809.0,1650.0,4,1,10000,3,4,4,3,4,FWD,MG Astor
MG,Astor,Super Turbo,2022,Petrol,Manual/Auto,SUV,1299000,Value,5,1349,140,220,16.2,583.0,4323.0,1809.0,1650.0,4,1,11000,3,4,4,3,3,FWD,MG Astor
MG,Astor,Sharp,2022,Petrol,Manual/Auto,SUV,1379000,Value,5,1490,110,144,17.56,633.0,4323.0,1809.0,1650.0,4,1,10000,4,4,5,3,4,FWD,MG Astor
MG,Astor,Sharp Turbo,2022,Petrol,Manual/Auto,SUV,1459000,Value,5,1349,140,220,16.2,583.0,4323.0,1809.0,1650.0,4,1,11000,4,4,5,4,3,FWD,MG Astor
MG,Astor,Savvy,2022,Petrol,Manual/Auto,SUV,1539000,Mid-Range,5,1490,110,144,17.56,633.0,4323.0,1809.0,1650.0,6,1,10000,4,5,5,3,4,FWD,MG Astor
MG,Astor,Savvy Turbo,2022,Petrol,Manual/Auto,SUV,1619000,Mid-Range,5,1349,140,220,16.2,583.0,4323.0,1809.0,1650.0,6,1,11000,4,5,5,4,3,FWD,MG Astor
MG,Astor,Style,2023,Petrol,Manual/Auto,SUV,1130000,Value,5,1490,110,144,17.56,633.0,4323.0,1809.0,1650.0,2,1,10000,3,3,4,3,4,FWD,MG Astor
MG,Astor,Super,2023,Petrol,Manual/Auto,SUV,1300000,Value,5,1490,110,144,17.56,633.0,4323.0,1809.0,1650.0,4,1,10000,3,4,4,3,4,FWD,MG Astor
MG,Astor,Super Turbo,2023,Petrol,Manual/Auto,SUV,1380000,Value,5,1349,140,220,16.2,583.0,4323.0,1809.0,1650.0,4,1,11000,3,4,4,3,3,FWD,MG Astor
MG,Astor,Sharp,2023,Petrol,Manual/Auto,SUV,1475000,Value,5,1490,110,144,17.56,633.0,4323.0,1809.0,1650.0,4,1,10000,4,4,5,3,4,FWD,MG Astor
MG,Astor,Sharp Turbo,2023,Petrol,Manual/Auto,SUV,1555000,Mid-Range,5,1349,140,220,16.2,583.0,4323.0,1809.0,1650.0,4,1,11000,4,4,5,4,3,FWD,MG Astor
MG,Astor,Savvy,2023,Petrol,Manual/Auto,SUV,1655000,Mid-Range,5,1490,110,144,17.56,633.0,4323.0,1809.0,1650.0,6,1,10000,4,5,5,3,4,FWD,MG Astor
MG,Astor,Savvy Turbo,2023,Petrol,Manual/Auto,SUV,1735000,Mid-Range,5,1349,140,220,16.2,583.0,4323.0,1809.0,1650.0,6,1,11000,4,5,5,4,3,FWD,MG Astor
MG,Astor,Style,2024,Petrol,Manual/Auto,SUV,1215000,Value,5,1490,110,144,17.56,633.0,4323.0,1809.0,1650.0,2,1,10000,3,3,4,3,4,FWD,MG Astor
MG,Astor,Super,2024,Petrol,Manual/Auto,SUV,1405000,Value,5,1490,110,144,17.56,633.0,4323.0,1809.0,1650.0,4,1,10000,3,4,4,3,4,FWD,MG Astor
MG,Astor,Super Turbo,2024,Petrol,Manual/Auto,SUV,1485000,Value,5,1349,140,220,16.2,583.0,4323.0,1809.0,1650.0,4,1,11000,3,4,4,3,3,FWD,MG Astor
MG,Astor,Sharp,2024,Petrol,Manual/Auto,SUV,1595000,Mid-Range,5,1490,110,144,17.56,633.0,4323.0,1809.0,1650.0,4,1,10000,4,4,5,3,4,FWD,MG Astor
MG,Astor,Sharp Turbo,2024,Petrol,Manual/Auto,SUV,1675000,Mid-Range,5,1349,140,220,16.2,583.0,4323.0,1809.0,1650.0,4,1,11000,4,4,5,4,3,FWD,MG Astor
MG,Astor,Savvy,2024,Petrol,Manual/Auto,SUV,1800000,Mid-Range,5,1490,110,144,17.56,633.0,4323.0,1809.0,1650.0,6,1,10000,4,5,5,3,4,FWD,MG Astor
MG,Astor,Savvy Turbo,2024,Petrol,Manual/Auto,SUV,1880000,Mid-Range,5,1349,140,220,16.2,583.0,4323.0,1809.0,1650.0,6,1,11000,4,5,5,4,3,FWD,MG Astor
